"ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","Longitude","Latitude","Georeliability","Year","HK_examined","HK_positive","Asc_examined","Asc_positive","TT_examined","TT_positive","altitude","riv_dist","fric_w","fric_m","travel_w","travel_m","HK_e.logit","Asc_e.logit","TT_e.logit","utm_x","utm_y"
"Oromiya",1948,"West Wellega",3194,"Mana Sibu",18949,"Odora Tobera",34.965401,9.8265104,3,2009,107,75,107,0,107,0,1494.89255646355,7.0297059565268,0.0137547629851635,0.00778723190125618,122.220263350512,26.5938553059529,0.842892566919287,-5.37063802812766,-5.37063802812766,-605695.61570943,1102882.94623258
"Oromiya",1948,"E. Wellega",3146,"Gobu Seyo",18875,"Ongobo Bekennisa",36.994099,9.0855904,3,2009,110,61,110,26,110,1,1719.73436185445,4.58868295277201,0.0120000001043081,0.00113207544200122,58.670308679231,4.63129492872184,0.217064505237828,-1.15960680137095,-4.29045944114839,-382503.361822724,1014098.65124874
"Oromiya",1948,"Illu Aba Bora",3155,"Bilo Nopha",18787,"Qachi",35.527699,8.3530102,3,2009,98,46,98,8,98,0,1667.41895444435,0.975796401829389,0.0146430768578896,0.0104281645998661,80.3149522746132,12.7601708194468,-0.121360857004267,-2.36528368720961,-5.28320372873799,-547532.650886788,935990.021916696
"Oromiya",1948,"Jimma",3159,"Limu Seka",18946,"Rayya",37.0569,8.4420204,3,2009,95,44,95,21,95,0,1627.44245573756,5.51477491339005,0.0153753751015104,0.00750026582457056,31.8109558367319,5.27345500103197,-0.146092618497496,-1.2427461902519,-5.25227342804663,-377064.678414716,942132.870158879
"Amhara",1943,"N. Gonder",3171,"Gonder City Adm.",18602,"Sanja",37.3,12.983333,3,2013,384,42,384,6,384,1,1099.35556757571,1.16456038941225,0.0137424231124388,0.00672552956627542,15.1549032225035,3.97057990985613,-2.08676758177191,-4.06441389597591,-5.54387451269915,-337337.768600431,1447989.82358725
"Amhara",1943,"N. Gonder",3171,"Gonder City Adm.",18602,"Sanja Town",37.3,12.983333,3,2013,385,143,385,62,385,3,1099.35556757571,1.16456038941225,0.0137424231124388,0.00672552956627542,15.1549032225035,3.97057990985613,-0.524666675177862,-1.6440325571986,-4.69396568477122,-337337.768600431,1447989.82358725
"Oromiya",1948,"E. Shewa",3144,"Adama Town",18746,"School in Addis Ababa",39.266701,8.5500002,3,2005,50,3,50,8,50,1,1636.55709542655,9.02669715552441,0.0120000001043081,0.00090058378791298,4.50399862517502,0.323579532889035,-2.60796674254523,-1.6094379124341,-3.49650756146648,-131944.723671688,949814.550993803
"Benshangul-Gumuz",1944,"Asosa",3131,"Bambasi",18687,"School in Addis Ababa",38.7279819,8.9963835,2,2005,49,15,49,6,49,0,2315.23218690868,1.773466262082,0.0120000001043081,0.00107142853084952,0,0,-0.800119300112113,-1.90095876119305,-4.59511985013459,-190711.345225078,1000381.78299874
"Oromiya",1948,"Borena",3135,"Arero",18764,"School in Addis Ababa",38.7279819,8.9963835,2,2005,50,0,50,3,50,1,2315.23218690868,1.773466262082,0.0120000001043081,0.00107142853084952,0,0,-4.61512051684126,-2.60796674254523,-3.49650756146648,-190711.345225078,1000381.78299874
"Harari",1947,"Harari",3154,"Hakim",18732,"School in Addis Ababa",42.116699,9.3166704,3,2005,50,11,50,11,50,0,1927.42324277617,3.34634191318797,0.0120000001043081,0.000746627407071465,6.96902080107264,0.476366749607411,-1.23395363653787,-1.23395363653787,-4.61512051684126,183237.745912022,1031153.80112443
"Harari",1947,"Harari",3154,"Hakim",18732,"School in Addis Ababa",42.116699,9.3166704,3,2005,65,1,65,2,65,1,1927.42324277617,3.34634191318797,0.0120000001043081,0.000746627407071465,6.96902080107264,0.476366749607411,-3.76120011569356,-3.23474917402449,-3.76120011569356,183237.745912022,1031153.80112443
"Harari",1947,"Harari",3154,"Hakim",18732,"School in Addis Ababa",42.116699,9.3166704,3,2005,66,4,66,1,66,3,1927.42324277617,3.34634191318797,0.0120000001043081,0.000746627407071465,6.96902080107264,0.476366749607411,-2.63108915996608,-3.77658503453304,-2.89827693740328,183237.745912022,1031153.80112443
"Dir Dawa",1945,"Dire Dawa",3141,"Dire Dawa",18707,"School in Adi Gudem",41.8566146,9.5815123,1,2005,67,0,67,3,67,0,1230.92385411602,3.55041147182653,0.0120000001043081,0.00113207544200122,18.4506570343366,1.65146753359236,-4.90527477843843,-2.91390225530636,-4.90527477843843,154902.75833094,1060720.46638907
"Snnp",1950,"Gurage",3152,"Sodo Zuria",19242,"School in Adigrat",39.4605612,14.278304,1,2005,47,5,47,26,47,4,2469.32848965583,1.84408605852791,0.0120000001043081,0.000846788554357323,5.67620036270919,0.416256326376003,-2.04475598369195,0.209091797858559,-2.26868354131836,-98305.9905219934,1585655.2038981
"Oromiya",1948,"Guji",3151,"Adola",18750,"School in Adigrat",39.4605612,14.278304,1,2005,50,3,50,5,50,1,2469.32848965583,1.84408605852791,0.0120000001043081,0.000846788554357323,5.67620036270919,0.416256326376003,-2.60796674254523,-2.11296423371848,-3.49650756146648,-98305.9905219934,1585655.2038981
"Tigray",1951,"Nw Tigray",3176,"Tselemti",19324,"School in Adigrat",39.4702674,14.2710308,1,2005,50,11,50,3,50,0,2435.29990724604,0.881197052232114,0.0120000001043081,0.000958799255767183,13.879980262849,1.00289259124577,-1.23395363653787,-2.60796674254523,-4.61512051684126,-97274.0342335419,1584822.3584886
"Harari",1947,"Harari",3154,"Hakim",18732,"School in Adigrat",39.4605612,14.278304,1,2005,68,0,68,0,68,0,2469.32848965583,1.84408605852791,0.0120000001043081,0.000846788554357323,5.67620036270919,0.416256326376003,-4.91998092582813,-4.91998092582813,-4.91998092582813,-98305.9905219934,1585655.2038981
